ID,Source,Élément,Preuve,Confiance,Sévérité,Impact,Recommandation,Référence OWASP,Statut
FIND-001,BeVigil+Yaazhini,Communication non sécurisée HTTP,"Extraits: bevigil_export_summary.txt; yaazhini_report.html (Finding #1)",Forte,High,"Interception et modification des échanges (MITM) conduisant à la fuite de credentials et données sensibles","Imposer TLS 1.2+ pour tous les échanges et ajouter certificate pinning si possible",MASVS-NETWORK-1,Confirmé
FIND-002,Yaazhini,Mode Debug actif dans le manifest,"yaazhini_report.html (Finding #3) - AndroidManifest.xml: android:debuggable=true",Forte,High,"Possibilité d'accès et d'analyse via ADB conduisant à l'extraction de secrets","Désactiver android:debuggable pour les builds destinés à la production",MASVS-CODE-2,Confirmé
FIND-003,Yaazhini,Backup ADB autorisé,"yaazhini_report.html (Finding #4) - AndroidManifest.xml: android:allowBackup=true",Forte,High,"Extraction complète des données applicatives via une connexion USB","Désactiver allowBackup ou restreindre via android:fullBackupContent",MASVS-STORAGE-8,Confirmé
FIND-004,Yaazhini,Algorithmes de hachage obsolètes,"yaazhini_report.html (Findings #7/#8) - ChangePassword.java",Forte,High,"Facilitation du craquage des valeurs hachées (rainbow tables, collisions)","Migrer vers SHA-256+; pour mots de passe, utiliser PBKDF2/bcrypt/Argon2 avec sel",MASVS-CRYPTO-4,Confirmé
FIND-005,Yaazhini,Content Providers exposés,"yaazhini_report.html (Finding #5) - AndroidManifest.xml: exported=true",Forte,High,"Accès non autorisé aux données exposées par les providers","Restreindre android:exported ou ajouter read/write permissions",MASVS-PLATFORM-2,Confirmé
FIND-006,Yaazhini,Générateur aléatoire non sécurisé,"yaazhini_report.html (Finding #2) - use of java.util.Random",Forte,Medium,"Prédictibilité des tokens/nonce compromettant la sécurité","Remplacer par java.security.SecureRandom pour usages sensibles",MASVS-CRYPTO-6,Confirmé
FIND-007,Yaazhini,Signature APK obsolète,"yaazhini_report.html (Finding #9) - certificat: SHA1withRSA",Moyenne,Medium,"Réduction de la robustesse contre falsification et collisions","Signer avec SHA256withRSA et utiliser le scheme v2+ d'Android",MASVS-CODE-1,Confirmé
FIND-008,BeVigil,Trackers et bibliothèques analytiques,"bevigil_export_summary.txt - AdMob/Analytics/TagManager détectés",Forte,Medium,"Collecte de données comportementales par des tiers; enjeux RGPD/consentement","Documenter la présence des trackers et implémenter une bannière de consentement si nécessaire",MASVS-PLATFORM-1,Confirmé
FIND-009,BeVigil,Emails et données de contact exposés,"bevigil_export_summary.txt - 6 emails trouvés dans le code",Moyenne,Low,"Risque de phishing ciblé ou d'exposition d'identifiants de contact","Retirer les emails du code; utiliser des fichiers de configuration non inclus dans le repo",MASVS-CODE-4,Confirmé
FIND-010,Yaazhini,Receivers exportés sans restriction,"yaazhini_report.html (Finding #6) - AndroidManifest.xml receivers exported",Forte,Medium,"Intent spoofing ou déclenchements non-autorisés via des intents externes","Déclarer android:exported=false ou ajouter des permissions explicites",MASVS-PLATFORM-2,Confirmé
FIND-011,BeVigil,Score global et posture,"bevigil_export_summary.txt - Score 7.4/10 (AVERAGE)",Forte,Info,"Posture globale insuffisante pour un contexte bancaire; prioriser corrections critiques","Plan d'action: traiter les findings High en premier",MASVS-CODE-1,Confirmé
FIND-012,Yaazhini,JavaScript actif dans WebView,"yaazhini_report.html (Finding #10) - WebView settings",Moyenne,Medium,"Risque XSS si contenu non fiable est chargé dans la WebView","Désactiver JS ou filtrer/valider strictement le contenu chargé",MASVS-PLATFORM-5,À confirmer
